,Carrera,Ciclo,Materia
0,Carrera de Arquitectura,Ciclo I,Análisis Matemático Univariado
1,Carrera de Arquitectura,Ciclo I,Conceptos Fundamentales  de Arquitectura
2,Carrera de Arquitectura,Ciclo I,Historia y Teoría de aa Arquitectura I     
3,Carrera de Arquitectura,Ciclo I, Geometría Descriptiva y Proyectiva
4,Carrera de Arquitectura,Ciclo I,Dibujo e Ideación
5,Carrera de Arquitectura,Ciclo I,"Humanismo, Universidad y Cultura"
6,Carrera de Arquitectura,Ciclo II,Fundamentos de Materiales
7,Carrera de Arquitectura,Ciclo II,Estática
8,Carrera de Arquitectura,Ciclo II,Taller de Proyectos Arquitectónicos I   
9,Carrera de Arquitectura,Ciclo II,Historia y Teoría de la Arquitectura II
10,Carrera de Arquitectura,Ciclo II,Geometría y Dibujo de Arquitectura         
11,Carrera de Arquitectura,Ciclo II,Expresión Gráfica I
12,Carrera de Arquitectura,Ciclo III,Construcción I
13,Carrera de Arquitectura,Ciclo III,Resistencia de Materiales       
14,Carrera de Arquitectura,Ciclo III,Taller de Proyectos Arquitectónicos II
15,Carrera de Arquitectura,Ciclo III,Análisis de la Arquitectura I
16,Carrera de Arquitectura,Ciclo III,Expresión Gráfica II
17,Carrera de Arquitectura,Ciclo III,Antropología Básica
18,Carrera de Arquitectura,Ciclo IV,Construcción II
19,Carrera de Arquitectura,Ciclo IV,Estructuras I
20,Carrera de Arquitectura,Ciclo IV,Taller de Proyectos Arquitectónicos III
21,Carrera de Arquitectura,Ciclo IV,Análisis de la Arquitectura del II  
22,Carrera de Arquitectura,Ciclo IV,Prácticum 1
23,Carrera de Arquitectura,Ciclo IV,Proyecto de Instalaciones Hidrosanitarias     
24,Carrera de Arquitectura,Ciclo V,Construcción III
25,Carrera de Arquitectura,Ciclo V,Estructuras II
26,Carrera de Arquitectura,Ciclo V,Taller de Proyectos Arquitectónicos IV
27,Carrera de Arquitectura,Ciclo V,Proyecto de Instalaciones Eléctricas y Especiales
28,Carrera de Arquitectura,Ciclo V,Prácticum 2.1
29,Carrera de Arquitectura,Ciclo V,Itinerario I: Construcciones Tradicionales
30,Carrera de Arquitectura,Ciclo V,Itinerario II: Composición Arquitectónica avanzada        
31,Carrera de Arquitectura,Ciclo VI,Construcción IV
32,Carrera de Arquitectura,Ciclo VI,Emprendimiento
33,Carrera de Arquitectura,Ciclo VI,Taller de Proyectos Arquitectónicos V
34,Carrera de Arquitectura,Ciclo VI,"Fundamentos de Conservación, Restauración y Rehabilitación Arquitectónica "
35,Carrera de Arquitectura,Ciclo VI,Prácticum 2.2
36,Carrera de Arquitectura,Ciclo VI,Itinerario I: Patología en la Edificación
37,Carrera de Arquitectura,Ciclo VI,Itinerario II: Innovación en Arquitectura
38,Carrera de Arquitectura,Ciclo VII,Construcción V
39,Carrera de Arquitectura,Ciclo VII,Diseño Paramétrico y Fabricación Digital
40,Carrera de Arquitectura,Ciclo VII,Taller de Proyectos Arquitectónicos VI
41,Carrera de Arquitectura,Ciclo VII,Urbanismo I
42,Carrera de Arquitectura,Ciclo VII,Prácticum 3: Servicio Comunitario
43,Carrera de Arquitectura,Ciclo VII,Itinerario I: Arquitectura Bioclimática
44,Carrera de Arquitectura,Ciclo VII,Itinerario II: Taller de Estructuras Emergentes
45,Carrera de Arquitectura,Ciclo VIII,Presupuestos y Programación de Obras
46,Carrera de Arquitectura,Ciclo VIII,Tecnologías Digitales en Arquitectura: Modelación y Desarrollo de Proyectos Bim
47,Carrera de Arquitectura,Ciclo VIII,Taller de Proyectos Urbano- Arquitectónico I
48,Carrera de Arquitectura,Ciclo VIII,Urbanismo II
49,Carrera de Arquitectura,Ciclo VIII,Prácticum 4.1
50,Carrera de Arquitectura,Ciclo VIII,Composición de Textos Científicos
51,Carrera de Arquitectura,Ciclo IX,Fiscalización y Control de Obras
52,Carrera de Arquitectura,Ciclo IX,Análisis Ambiental en la Edificación
53,Carrera de Arquitectura,Ciclo IX,Taller de Proyectos Urbano- Arquitectónico II
54,Carrera de Arquitectura,Ciclo IX,Ecología Urbana
55,Carrera de Arquitectura,Ciclo IX,Prácticum 4.2
56,Carrera de Arquitectura,Ciclo IX,Ética y Moral  
57,Carrera de Computación,Ciclo I,Fundamentos Computacionales
58,Carrera de Computación,Ciclo I,Fundamentos Matemáticos
59,Carrera de Computación,Ciclo I,"Humanismo, Universidad y Cultura"
60,Carrera de Computación,Ciclo I,Introducción a la Programación
61,Carrera de Computación,Ciclo I,Computación y Sociedad
62,Carrera de Computación,Ciclo I,Estructuras Discretas
63,Carrera de Computación,Ciclo II,Física Básica
64,Carrera de Computación,Ciclo II,Álgebra  Lineal
65,Carrera de Computación,Ciclo II,Análisis Matemático Univariado
66,Carrera de Computación,Ciclo II,Estructuras de datos
67,Carrera de Computación,Ciclo II,Programación Orientada a Objetos
68,Carrera de Computación,Ciclo III,Ecuaciones Diferenciales y Métodos Numéricos
69,Carrera de Computación,Ciclo III,Lógica Digital
70,Carrera de Computación,Ciclo III,Fundamentos de Base de Datos
71,Carrera de Computación,Ciclo III,Programación Funcional y Reactiva
72,Carrera de Computación,Ciclo III,Antropología Básica
73,Carrera de Computación,Ciclo III,Prácticum 1.1
74,Carrera de Computación,Ciclo IV,Arquitectura y Organización de Computadores
75,Carrera de Computación,Ciclo IV,Análisis de Algoritmos
76,Carrera de Computación,Ciclo IV,Base de Datos Avanzada
77,Carrera de Computación,Ciclo IV,Programación Avanzada
78,Carrera de Computación,Ciclo IV,Prototipado
